DonorID,DonationDate,DonationAmount,TransactionID
B1,2023-05-09,2188,TXBB11
B1,2023-10-27,4473,TXBB12
B1,2024-03-20,2365,TXBB13
B1,2024-08-20,4352,TXBB14
B2,2023-01-01,4759,TXBB20
B2,2023-06-20,3296,TXBB21
B2,2023-11-16,4747,TXBB22
B2,2024-04-13,4931,TXBB23
B3,2023-01-01,4068,TXBB30
B3,2023-06-30,4083,TXBB31
B3,2023-11-04,3785,TXBB32
B3,2024-03-25,4773,TXBB33
B4,2023-01-01,2188,TXBB40
B4,2023-05-08,3189,TXBB41
B4,2023-09-28,4464,TXBB42
B4,2024-02-15,4905,TXBB43
B4,2024-06-14,4189,TXBB44
B5,2023-01-01,4872,TXBB50
B5,2023-05-28,3543,TXBB51
B5,2023-10-02,2147,TXBB52
B5,2024-02-09,4276,TXBB53
B5,2024-07-10,4831,TXBB54
C1,2023-01-01,49,TXCC10
C1,2023-01-31,85,TXCC11
C1,2023-03-02,75,TXCC12
C1,2023-04-01,52,TXCC13
C1,2023-05-01,72,TXCC14
C1,2023-05-31,70,TXCC15
C1,2023-06-30,28,TXCC16
C1,2023-07-30,60,TXCC17
C1,2023-08-29,75,TXCC18
C1,2023-09-28,88,TXCC19
C1,2023-10-28,47,TXCC110
C1,2023-11-27,69,TXCC111
C1,2023-12-27,31,TXCC112
C1,2024-01-26,94,TXCC113
C1,2024-02-25,43,TXCC114
C2,2023-01-01,82,TXCC20
C2,2023-01-31,30,TXCC21
C2,2023-03-02,43,TXCC22
C2,2023-04-01,41,TXCC23
C2,2023-05-01,86,TXCC24
C2,2023-05-31,89,TXCC25
C2,2023-06-30,78,TXCC26
C2,2023-07-30,32,TXCC27
C2,2023-08-29,49,TXCC28
C2,2023-09-28,55,TXCC29
C2,2023-10-28,46,TXCC210
C2,2023-11-27,26,TXCC211
C2,2023-12-27,49,TXCC212
C2,2024-01-26,31,TXCC213
C2,2024-02-25,81,TXCC214
C3,2023-01-01,80,TXCC30
C3,2023-01-31,79,TXCC31
C3,2023-03-02,80,TXCC32
C3,2023-04-01,46,TXCC33
C3,2023-05-01,42,TXCC34
C3,2023-05-31,47,TXCC35
C3,2023-06-30,63,TXCC36
C3,2023-07-30,44,TXCC37
C3,2023-08-29,100,TXCC38
C3,2023-09-28,97,TXCC39
C3,2023-10-28,74,TXCC310
C3,2023-11-27,46,TXCC311
C3,2023-12-27,80,TXCC312
C3,2024-01-26,93,TXCC313
C3,2024-02-25,42,TXCC314
C4,2023-01-01,28,TXCC40
C4,2023-01-31,51,TXCC41
C4,2023-03-02,75,TXCC42
C4,2023-04-01,62,TXCC43
C4,2023-05-01,70,TXCC44
C4,2023-05-31,36,TXCC45
C4,2023-06-30,30,TXCC46
C4,2023-07-30,66,TXCC47
C4,2023-08-29,53,TXCC48
C4,2023-09-28,29,TXCC49
C4,2023-10-28,99,TXCC410
C4,2023-11-27,41,TXCC411
C4,2023-12-27,87,TXCC412
C4,2024-01-26,43,TXCC413
C4,2024-02-25,55,TXCC414
C5,2023-01-01,37,TXCC50
C5,2023-01-31,90,TXCC51
C5,2023-03-02,47,TXCC52
C5,2023-04-01,28,TXCC53
C5,2023-05-01,61,TXCC54
C5,2023-05-31,74,TXCC55
C5,2023-06-30,86,TXCC56
C5,2023-07-30,97,TXCC57
C5,2023-08-29,31,TXCC58
C5,2023-09-28,71,TXCC59
C5,2023-10-28,57,TXCC510
C5,2023-11-27,37,TXCC511
C5,2023-12-27,62,TXCC512
C5,2024-01-26,32,TXCC513
C5,2024-02-25,89,TXCC514
